Year,Month,Store,Store_Type,Dept,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday,Total_Sales
2011,11,1,A,79,410.31,98,55805.51,8,554.92,true,33533.15
2011,11,2,A,71,919.71,62,77451.26,23,1589.43,true,6479.77
2011,11,4,A,41,561.45,137.88,83340.33,44.04,9239.23,true,2069.5
2011,11,4,A,58,561.45,137.88,83340.33,44.04,9239.23,true,4370.0
2011,11,5,B,54,107.42,7,29333.06,8,826.06,true,5.88
2011,12,6,A,25,6098.54,82881.16,326.68,814.58,2728.99,true,10330.37
2011,12,8,A,97,3701.08,36381.83,164.34,178.4,1508.56,true,13401.91
2011,12,9,B,95,2155.73,14481.63,44.07,237.84,3699.24,true,22421.95
2011,12,1,A,26,5762.1,46011.38,260.36,983.65,4735.78,true,5036.62
2011,11,1,A,37,410.31,98,55805.51,8,554.92,true,2786.48
2011,12,2,A,19,8321.44,92523.94,139.53,1515.4,3027.69,true,3118.72
2011,11,5,B,11,107.42,7,29333.06,8,826.06,true,8464.77
2011,12,7,B,85,2026.82,17021.3,113.19,144.93,1178.13,true,2257.29
2011,12,11,A,16,4241.32,58046.41,239.33,78.09,586.72,true,3576.05
2011,12,2,A,14,8321.44,92523.94,139.53,1515.4,3027.69,true,30419.21
2011,11,2,A,18,919.71,62,77451.26,23,1589.43,true,50925.45
2011,11,4,A,9,561.45,137.88,83340.33,44.04,9239.23,true,54314.2
2011,12,5,B,16,1938.28,17079.76,72.93,162.33,1211.95,true,2758.38
2011,11,7,B,52,35.94,6.47,41487.59,12,905.95,true,2442.88
2011,12,8,A,56,3701.08,36381.83,164.34,178.4,1508.56,true,370.89
2011,11,11,A,13,531.09,74.35,71081.98,3,1676.85,true,42494.92
2011,12,2,A,97,8321.44,92523.94,139.53,1515.4,3027.69,true,33285.31
2011,11,3,B,25,41.74,10.47,37612.74,NA,135.16,true,4344.97
2011,12,5,B,42,1938.28,17079.76,72.93,162.33,1211.95,true,2146.47
