Year,Month,Store,Store_Type,Dept,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday,Total_Sales
2011,2,2,A,22,NA,NA,NA,NA,NA,true,17697.6
2010,2,3,B,7,NA,NA,NA,NA,NA,true,8087.19
2010,2,4,A,41,NA,NA,NA,NA,NA,true,686.83
2011,2,5,B,32,NA,NA,NA,NA,NA,true,2874.55
2011,2,9,B,96,NA,NA,NA,NA,NA,true,2748.51
2011,2,10,B,72,NA,NA,NA,NA,NA,true,222651.02
2011,2,10,B,85,NA,NA,NA,NA,NA,true,2769.76
2011,2,12,B,12,NA,NA,NA,NA,NA,true,4924.66
2010,2,13,A,42,NA,NA,NA,NA,NA,true,7712.97
2010,2,2,A,58,NA,NA,NA,NA,NA,true,34433.91
2011,2,4,A,81,NA,NA,NA,NA,NA,true,30066.55
2010,2,5,B,87,NA,NA,NA,NA,NA,true,8078.23
2010,2,7,B,28,NA,NA,NA,NA,NA,true,225.96
2010,2,8,A,13,NA,NA,NA,NA,NA,true,24796.02
2011,2,8,A,55,NA,NA,NA,NA,NA,true,7518.38
2011,2,8,A,85,NA,NA,NA,NA,NA,true,1574.5
2010,2,9,B,12,NA,NA,NA,NA,NA,true,5321.75
2010,2,9,B,40,NA,NA,NA,NA,NA,true,29859.92
2010,2,9,B,87,NA,NA,NA,NA,NA,true,10004.55
2011,2,11,A,27,NA,NA,NA,NA,NA,true,2782.64
2011,2,12,B,98,NA,NA,NA,NA,NA,true,701.62
2010,2,13,A,98,NA,NA,NA,NA,NA,true,20456.63
2011,2,14,A,44,NA,NA,NA,NA,NA,true,5330.76
2010,2,1,A,33,NA,NA,NA,NA,NA,true,8483.54
2011,2,6,A,2,NA,NA,NA,NA,NA,true,46108.98
2011,2,7,B,45,NA,NA,NA,NA,NA,true,12.94
2010,2,7,B,94,NA,NA,NA,NA,NA,true,192.5
2010,2,8,A,85,NA,NA,NA,NA,NA,true,2452.34
2010,2,12,B,42,NA,NA,NA,NA,NA,true,4824.5
2010,2,13,A,74,NA,NA,NA,NA,NA,true,28221.32
2011,2,13,A,98,NA,NA,NA,NA,NA,true,16724.98
2011,2,2,A,31,NA,NA,NA,NA,NA,true,3365.68
2010,2,2,A,59,NA,NA,NA,NA,NA,true,1331.83
2010,2,2,A,93,NA,NA,NA,NA,NA,true,68501.78
2011,2,3,B,20,NA,NA,NA,NA,NA,true,1355.8
2010,2,4,A,29,NA,NA,NA,NA,NA,true,12901.02
2011,2,4,A,46,NA,NA,NA,NA,NA,true,36190.92
2011,2,5,B,24,NA,NA,NA,NA,NA,true,936.61
2010,2,6,A,87,NA,NA,NA,NA,NA,true,34046.58
2011,2,7,B,6,NA,NA,NA,NA,NA,true,7659.09
2011,2,7,B,55,NA,NA,NA,NA,NA,true,6627.52
2010,2,7,B,72,NA,NA,NA,NA,NA,true,39791.13
2010,2,11,A,90,NA,NA,NA,NA,NA,true,50852.53
2010,2,13,A,45,NA,NA,NA,NA,NA,true,23.38
2011,2,2,A,23,NA,NA,NA,NA,NA,true,30127.76
2010,2,2,A,54,NA,NA,NA,NA,NA,true,240.0
2010,2,3,B,47,NA,NA,NA,NA,NA,true,83.0
2011,2,7,B,95,NA,NA,NA,NA,NA,true,34767.94
2010,2,7,B,97,NA,NA,NA,NA,NA,true,2734.37
2010,2,9,B,97,NA,NA,NA,NA,NA,true,766.93
2011,2,10,B,42,NA,NA,NA,NA,NA,true,12990.67
2011,2,11,A,81,NA,NA,NA,NA,NA,true,12696.41
2011,2,13,A,17,NA,NA,NA,NA,NA,true,17764.62
2010,2,1,A,29,NA,NA,NA,NA,NA,true,7696.61
2011,2,2,A,52,NA,NA,NA,NA,NA,true,3926.45
2011,2,4,A,31,NA,NA,NA,NA,NA,true,3154.4
2010,2,4,A,90,NA,NA,NA,NA,NA,true,90586.63
2010,2,6,A,5,NA,NA,NA,NA,NA,true,37828.68
2010,2,6,A,91,NA,NA,NA,NA,NA,true,47565.6
2010,2,7,B,98,NA,NA,NA,NA,NA,true,637.07
2011,2,11,A,11,NA,NA,NA,NA,NA,true,13420.52
2011,2,2,A,44,NA,NA,NA,NA,NA,true,8375.89
2010,2,2,A,52,NA,NA,NA,NA,NA,true,3934.69
2011,2,3,B,81,NA,NA,NA,NA,NA,true,1027.97
2010,2,6,A,74,NA,NA,NA,NA,NA,true,19161.03
2011,2,7,B,72,NA,NA,NA,NA,NA,true,54971.56
2011,2,8,A,27,NA,NA,NA,NA,NA,true,1165.83
2010,2,8,A,56,NA,NA,NA,NA,NA,true,1608.44
2011,2,12,B,7,NA,NA,NA,NA,NA,true,24165.81
2010,2,14,A,26,NA,NA,NA,NA,NA,true,8739.85
2011,2,2,A,29,NA,NA,NA,NA,NA,true,9915.63
2011,2,2,A,87,NA,NA,NA,NA,NA,true,26420.05
2011,2,4,A,23,NA,NA,NA,NA,NA,true,42886.36
2010,2,5,B,2,NA,NA,NA,NA,NA,true,11794.51
2011,2,10,B,49,NA,NA,NA,NA,NA,true,23420.31
2010,2,13,A,2,NA,NA,NA,NA,NA,true,71615.26
2011,2,13,A,22,NA,NA,NA,NA,NA,true,18588.0
2010,2,2,A,27,NA,NA,NA,NA,NA,true,2537.5
2010,2,4,A,56,NA,NA,NA,NA,NA,true,3344.76
2010,2,7,B,91,NA,NA,NA,NA,NA,true,4729.58
2011,2,9,B,14,NA,NA,NA,NA,NA,true,6983.88
2011,2,9,B,16,NA,NA,NA,NA,NA,true,3328.14
2011,2,10,B,3,NA,NA,NA,NA,NA,true,28110.57
2011,2,10,B,26,NA,NA,NA,NA,NA,true,22864.01
2010,2,10,B,46,NA,NA,NA,NA,NA,true,51892.39
2011,2,11,A,12,NA,NA,NA,NA,NA,true,3814.84
2011,2,11,A,31,NA,NA,NA,NA,NA,true,1941.87
2010,2,12,B,16,NA,NA,NA,NA,NA,true,3859.33
2011,2,14,A,5,NA,NA,NA,NA,NA,true,35853.7
2011,2,1,A,23,NA,NA,NA,NA,NA,true,22686.25
2010,2,3,B,36,NA,NA,NA,NA,NA,true,419.0
2010,2,3,B,55,NA,NA,NA,NA,NA,true,7757.36
2011,2,4,A,24,NA,NA,NA,NA,NA,true,10752.35
2011,2,5,B,38,NA,NA,NA,NA,NA,true,54577.97
2011,2,6,A,41,NA,NA,NA,NA,NA,true,2621.0
2011,2,7,B,17,NA,NA,NA,NA,NA,true,4105.16
2011,2,1,A,35,NA,NA,NA,NA,NA,true,3080.82
2010,2,1,A,90,NA,NA,NA,NA,NA,true,79455.64
2010,2,2,A,95,NA,NA,NA,NA,NA,true,144429.03
2010,2,3,B,96,NA,NA,NA,NA,NA,true,3086.17
2011,2,5,B,92,NA,NA,NA,NA,NA,true,8340.95
2011,2,6,A,11,NA,NA,NA,NA,NA,true,18299.34
2010,2,6,A,28,NA,NA,NA,NA,NA,true,875.51
2010,2,7,B,90,NA,NA,NA,NA,NA,true,8867.13
2010,2,8,A,4,NA,NA,NA,NA,NA,true,19921.07
2011,2,8,A,17,NA,NA,NA,NA,NA,true,9932.76
2010,2,11,A,72,NA,NA,NA,NA,NA,true,114394.77
2010,2,12,B,11,NA,NA,NA,NA,NA,true,16909.89
2010,2,12,B,33,NA,NA,NA,NA,NA,true,12534.15
2010,2,13,A,31,NA,NA,NA,NA,NA,true,2320.96
2011,2,4,A,29,NA,NA,NA,NA,NA,true,12061.61
2010,2,6,A,3,NA,NA,NA,NA,NA,true,13474.87
2011,2,7,B,46,NA,NA,NA,NA,NA,true,13171.47
2010,2,8,A,12,NA,NA,NA,NA,NA,true,6107.77
2011,2,10,B,79,NA,NA,NA,NA,NA,true,44768.86
2011,2,11,A,20,NA,NA,NA,NA,NA,true,10466.37
2011,2,3,B,17,NA,NA,NA,NA,NA,true,2647.08
2011,2,5,B,5,NA,NA,NA,NA,NA,true,9577.92
2010,2,5,B,13,NA,NA,NA,NA,NA,true,10153.08
2011,2,5,B,87,NA,NA,NA,NA,NA,true,9615.4
2011,2,8,A,13,NA,NA,NA,NA,NA,true,24772.37
2010,2,11,A,82,NA,NA,NA,NA,NA,true,21216.2
2010,2,12,B,18,NA,NA,NA,NA,NA,true,17730.75
2010,2,12,B,35,NA,NA,NA,NA,NA,true,2693.0
